MÊS;ANO;NORTE;NORDESTE;SUDESTE;SUL;CENTRO OESTE
JAN;2011;496172;1751761;5255305;1602622;704339
FEV;2011;452353;1597702;5083728;1598947;672452
MAR;2011;477637;1713392;5128653;1490633;697532
ABR;2011;471596;1681904;4937010;1433329;712847
MAI;2011;487643;1662459;4856402;1426433;704884
JUN;2011;520799;1605866;4678006;1403302;659843
JUL;2011;513870;1639149;4784552;1516995;673879
AGO;2011;541456;1636046;4840012;1494340;689462
SET;2011;567602;1668339;5036380;1494136;757502
OUT;2011;567178;1704764;4905359;1420907;766759
NOV;2011;548988;1723018;4885526;1404883;740908
DEZ;2011;548931;1778139;4957747;1453631;744657
JAN;2012;524135;1827785;5138107;1584091;726118
FEV;2012;503434;1704591;5111298;1658098;727504
MAR;2012;503494;1838823;5470926;1706808;750552
ABR;2012;532486;1779375;5308429;1533564;774281
MAI;2012;552161;1811928;4954256;1461139;752535
JUN;2012;566437;1775115;5033564;1490070;739704
JUL;2012;551450;1698329;4828556;1503946;692016
AGO;2012;592424;1740365;4979107;1557202;752539
SET;2012;604096;1723840;5108683;1510699;801211
OUT;2012;608315;1797350;5068966;1489158;824192
NOV;2012;628098;1822908;5369591;1566444;852344
DEZ;2012;597632;1874692;5223040;1628533;809315
JAN;2013;577517;2002181;5757901;1758505;828781
FEV;2013;560166;1980331;5425917;1711710;796405
MAR;2013;543558;2000446;5373723;1631377;807892
ABR;2013;591995;2083364;5329736;1513471;783019
MAI;2013;595852;1995023;5269471;1565432;816136
JUN;2013;616782;1897430;5185998;1594070;797911
JUL;2013;623393;1927736;5063741;1634801;772664
AGO;2013;629182;1918626;5200951;1715613;816125
SET;2013;640168;1956622;5196437;1644068;813870
OUT;2013;687065;2054166;5313978;1620013;870074
NOV;2013;675367;2072616;5420982;1628086;913837
DEZ;2013;683978;2075421;5407419;1653801;885062
JAN;2014;651827;2222412;5991046;2012159;920875
FEV;2014;640104;2115977;6082595;2166045;874137
MAR;2014;665706;2152217;5783428;1810905;876245
ABR;2014;649978;2127397;5477028;1657560;868377
MAI;2014;705888;2164510;5455670;1663029;888051
JUN;2014;693230;2035296;5106123;1660066;827154
JUL;2014;813791;2072771;5294663;1690827;784886
AGO;2014;634342;2027166;5191948;1722603;864433
SET;2014;755837;2060440;5194803;1650393;914142
OUT;2014;756891;2154008;5560649;1662746;1006315
NOV;2014;745283;2172997;5714131;1780429;969551
DEZ;2014;761455;2190944;5508771;1801652;897948
JAN;2015;726570;2302666;6476567;2062996;989503
FEV;2015;677514;2240786;5957795;1967877;936289
MAR;2015;680311;2213527;5573471;1802427;828374
ABR;2015;675513;2232375;5415655;1724335;841785
MAI;2015;679533;2218162;5176493;1588736;878861
JUN;2015;695205;2120820;4852845;1593710;850268
JUL;2015;746477;2025226;4913722;1605688;819639
AGO;2015;763948;2000513;5080894;1621249;846311
SET;2015;820516;2086557;5030736;1557532;941162
OUT;2015;884653;2162718;5465728;1611874;1008380
NOV;2015;872136;2193135;5457842;1612892;995736
DEZ;2015;851295;2317043;5383171;1603341;928685
JAN;2016;759843;2295490;5864497;1951618;958648
FEV;2016;740736;2191346;5615379;1888454;916030
MAR;2016;751194;2315129;5532807;1782753;934360
ABR;2016;747941;2307869;5907371;1817400;1001892
MAI;2016;754695;2255249;5330941;1706584;884863
JUN;2016;783331;2219377;5076992;1683387;850866
JUL;2016;796979;2100992;4937481;1704822;840346
AGO;2016;822097;2114946;4997655;1638519;854555
SET;2016;830479;2194120;5299383;1626257;939832
OUT;2016;828560;2219979;5282756;1596120;928149
NOV;2016;834314;2310009;5407188;1627834;954610
DEZ;2016;826045;2385414;5543528;1690320;911754
JAN;2017;746531;2274880;5934320;2006171;943733
FEV;2017;678124;2215583;5629521;1948153;898287
MAR;2017;725088;2335888;6041993;2085597;960387
ABR;2017;725326;2281067;5431606;1729936;967545
MAI;2017;791781;2321918;5290835;1599966;934559
JUN;2017;806273;2241692;5139605;1684856;918285
JUL;2017;767490;2085165;5061387;1679450;835237
AGO;2017;847732;2110113;4974452;1666071;876881
SET;2017;865723;2177898;5307233;1718434;1027419
OUT;2017;867252;2278110;5361592;1678750;988992
NOV;2017;851687;2357774;5537482;1693977;1021212
DEZ;2017;823516;2378954;5544800;1755588;938621
JAN;2018;749421;2361905;5863375;1991358;991187
FEV;2018;721929;2298489;5718347;1946358;973765
MAR;2018;749309;2335815;5957652;1917647;989902
ABR;2018;761093;2366883;5957746;1836583;1010649
MAI;2018;784448;2280120;5536524;1826148;973481
JUN;2018;776976;2278071;5320618;1781848;908682
JUL;2018;782046;2144669;5186863;1768602;908422
AGO;2018;797189;2215550;5116358;1748058;931628
SET;2018;804933;2230596;5360842;1751268;981923
OUT;2018;861574;2378990;5482086;1729766;1074489
NOV;2018;841537;2518675;5585817;1771098;1041679
DEZ;2018;738718;2346242;5687379;1835187;1026434
JAN;2019;726874;2433230;6389714;2302787;1085468
FEV;2019;713769;2421842;6188834;2226479;1075744
MAR;2019;731745;2541248;6072327;1999924;1038807
ABR;2019;751878;2381421;5610278;1806674;1019207
MAI;2019;777287;2490242;5785412;1822174;1051478
JUN;2019;782406;2330185;5269701;1714445;953578
JUL;2019;807441;2300502;5152318;1761217;930808
AGO;2019;817871;2206131;5201820;1797405;963777
SET;2019;855773;2263215;5376428;1770891;1112872
OUT;2019;826928;2467786;5668331;1849757;1160312
NOV;2019;837489;2565289;5967916;1913587;1139397
DEZ;2019;837765;2674693;5682864;1918579;1086805
