id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2022-01-01 00:00:00;5152.56599999
NE;NORDESTE;2022-01-01 00:00:00;10508.82200000
S;SUL;2022-01-01 00:00:00;10096.15200000
SE;SUDESTE;2022-01-01 00:00:00;31822.65600000
N;NORTE;2022-01-01 01:00:00;5223.93600000
NE;NORDESTE;2022-01-01 01:00:00;10598.65399999
S;SUL;2022-01-01 01:00:00;10226.53100000
SE;SUDESTE;2022-01-01 01:00:00;31470.53499999
N;NORTE;2022-01-01 02:00:00;5251.23999999
NE;NORDESTE;2022-01-01 02:00:00;10625.71600000
S;SUL;2022-01-01 02:00:00;10007.27400000
SE;SUDESTE;2022-01-01 02:00:00;30709.41900000
N;NORTE;2022-01-01 03:00:00;5253.75300000
NE;NORDESTE;2022-01-01 03:00:00;10583.82800000
S;SUL;2022-01-01 03:00:00;9671.30400000
SE;SUDESTE;2022-01-01 03:00:00;29996.61700000
N;NORTE;2022-01-01 04:00:00;5245.21099999
NE;NORDESTE;2022-01-01 04:00:00;10495.13700000
S;SUL;2022-01-01 04:00:00;9454.89400000
SE;SUDESTE;2022-01-01 04:00:00;29543.14000000
N;NORTE;2022-01-01 05:00:00;5158.94900000
NE;NORDESTE;2022-01-01 05:00:00;9776.71499999
S;SUL;2022-01-01 05:00:00;8950.31000000
SE;SUDESTE;2022-01-01 05:00:00;28524.85600000
N;NORTE;2022-01-01 06:00:00;4944.52100000
NE;NORDESTE;2022-01-01 06:00:00;9256.38500000
S;SUL;2022-01-01 06:00:00;8535.52800000
SE;SUDESTE;2022-01-01 06:00:00;27355.98799999
N;NORTE;2022-01-01 07:00:00;4664.97899999
NE;NORDESTE;2022-01-01 07:00:00;9215.98000000
S;SUL;2022-01-01 07:00:00;8441.99499999
SE;SUDESTE;2022-01-01 07:00:00;27222.50600000
N;NORTE;2022-01-01 08:00:00;4530.38100000
NE;NORDESTE;2022-01-01 08:00:00;9024.17200000
S;SUL;2022-01-01 08:00:00;8278.24900000
SE;SUDESTE;2022-01-01 08:00:00;27375.22700000
N;NORTE;2022-01-01 09:00:00;4452.67600000
NE;NORDESTE;2022-01-01 09:00:00;8891.52800000
S;SUL;2022-01-01 09:00:00;8215.29999999
SE;SUDESTE;2022-01-01 09:00:00;28133.48599999
N;NORTE;2022-01-01 10:00:00;4494.44300000
NE;NORDESTE;2022-01-01 10:00:00;8843.04799999
S;SUL;2022-01-01 10:00:00;8256.17000000
SE;SUDESTE;2022-01-01 10:00:00;28926.28299999
N;NORTE;2022-01-01 11:00:00;4477.94799999
NE;NORDESTE;2022-01-01 11:00:00;8807.97199999
S;SUL;2022-01-01 11:00:00;8334.52100000
SE;SUDESTE;2022-01-01 11:00:00;29845.28600000
N;NORTE;2022-01-01 12:00:00;4469.77300000
NE;NORDESTE;2022-01-01 12:00:00;8820.09400000
S;SUL;2022-01-01 12:00:00;8326.48600000
SE;SUDESTE;2022-01-01 12:00:00;30063.02700000
N;NORTE;2022-01-01 13:00:00;4454.95100000
NE;NORDESTE;2022-01-01 13:00:00;8898.36899999
S;SUL;2022-01-01 13:00:00;8475.12099999
SE;SUDESTE;2022-01-01 13:00:00;29667.39200000
N;NORTE;2022-01-01 14:00:00;4551.23699999
