MÊS;ANO;NORTE;NORDESTE;SUDESTE;SUL;CENTRO OESTE
JAN;2004;2.292.409;10.867.170;22.297.938;6.762.504;3.210.018
FEV;2004;2.350.587;10.901.202;22.381.311;6.779.827;3.217.172
MAR;2004;2.341.931;11.021.119;22.484.677;6.796.223;3.230.055
ABR;2004;2.404.355;11.079.392;22.511.086;6.808.504;3.241.571
MAI;2004;2.330.981;11.047.829;22.525.747;6.808.706;3.252.477
JUN;2004;2.343.387;11.060.883;22.573.915;6.828.481;3.272.136
JUL;2004;2.354.111;11.065.279;22.651.117;6.833.694;3.281.665
AGO;2004;2.447.323;11.099.911;22.682.587;6.855.884;3.294.085
SET;2004;2.372.519;11.171.666;22.720.074;6.872.403;3.307.368
OUT;2004;2.383.798;11.233.958;22.981.214;6.888.246;3.320.424
NOV;2004;2.397.918;11.289.038;22.822.663;6.905.108;3.335.253
DEZ;2004;2.404.435;11.316.858;22.857.176;6.922.896;3.347.438
JAN;2005;2.422.763;11.383.554;23.175.138;6.969.976;3.359.411
FEV;2005;2.427.336;11.391.446;23.197.625;6.990.138;3.364.435
MAR;2005;2.433.342;11.446.101;23.274.093;7.008.363;3.375.296
ABR;2005;2.440.322;11.473.245;23.308.907;7.022.044;3.384.032
MAI;2005;2.435.385;11.482.789;23.303.208;7.031.621;3.393.175
JUN;2005;2.444.596;11.537.479;23.431.298;7.046.792;3.400.781
JUL;2005;2.452.475;11.583.006;23.472.197;7.053.084;3.413.382
AGO;2005;2.462.920;11.626.216;23.519.017;7.067.678;3.414.325
SET;2005;2.475.471;11.651.058;23.596.625;7.080.925;3.427.245
OUT;2005;2.482.088;11.697.390;23.652.402;7.092.486;3.440.145
NOV;2005;2.484.707;11.741.547;23.694.791;7.106.368;3.450.325
DEZ;2005;2.491.066;11.794.802;23.748.325;7.122.993;3.463.732
JAN;2006;2.502.566;11.846.865;23.866.028;7.146.190;3.471.085
FEV;2006;2.503.609;11.893.070;23.904.695;7.161.437;3.476.156
MAR;2006;2.535.496;11.945.257;24.005.599;7.179.711;3.487.314
ABR;2006;2.532.949;11.996.225;24.005.373;7.194.078;3.495.331
MAI;2006;2.543.101;12.048.940;24.083.789;7.202.503;3.503.560
JUN;2006;2.550.453;12.095.564;24.113.741;7.216.806;3.511.953
JUL;2006;2.559.869;12.143.468;24.162.787;7.230.405;3.523.003
AGO;2006;2.570.314;12.184.755;24.240.440;7.245.931;3.534.477
SET;2006;2.582.229;12.241.498;24.299.623;7.259.265;3.548.023
OUT;2006;2.598.739;12.288.108;24.267.412;7.279.988;3.559.021
NOV;2006;2.610.046;12.338.389;24.445.521;7.300.192;3.570.143
DEZ;2006;2.619.830;12.402.516;24.399.138;7.318.755;3.578.620
JAN;2007;2.629.767;12.267.913;24.472.442;7.341.765;3.589.862
FEV;2007;2.637.573;12.538.033;24.477.565;7.359.604;3.604.134
MAR;2007;2.649.867;12.627.521;24.529.819;7.375.238;3.612.314
ABR;2007;2.657.012;12.572.435;24.571.546;7.388.920;3.619.255
MAI;2007;2.664.423;12.630.362;24.645.644;7.395.907;3.632.524
JUN;2007;2.673.385;12.679.908;24.722.235;7.406.053;3.639.364
JUL;2007;2.686.553;12.727.804;24.750.504;7.398.315;3.653.810
AGO;2007;2.700.988;12.781.007;24.832.137;7.442.935;3.663.859
SET;2007;2.711.854;12.802.437;24.881.050;7.452.648;3.670.829
OUT;2007;2.723.805;12.883.265;24.965.227;7.480.452;3.683.779
NOV;2007;2.734.509;12.929.597;25.015.956;7.504.144;3.694.245
DEZ;2007;2.745.030;12.991.259;25.097.821;7.519.981;3.703.364
JAN;2008;2.751.905;13.067.365;25.200.960;7.547.897;3.717.372
FEV;2008;2.768.113;13.123.666;25.506.138;7.540.301;3.730.951
MAR;2008;2.780.993;13.188.747;25.601.224;7.606.140;3.738.940
ABR;2008;2.793.327;13.239.848;25.667.476;7.586.653;3.750.111
MAI;2008;2.805.903;13.291.903;25.758.203;7.575.543;3.765.494
JUN;2008;2.799.843;13.336.647;25.531.107;7.605.799;3.784.693
JUL;2008;2.802.283;13.396.360;25.569.865;7.631.346;3.802.341
AGO;2008;2.809.082;13.445.083;25.660.831;7.678.013;3.821.102
SET;2008;2.816.123;13.501.493;25.816.012;7.677.312;3.837.973
OUT;2008;2.828.399;13.554.944;25.932.429;7.694.883;3.851.841
NOV;2008;2.839.424;13.612.376;25.868.871;7.717.162;3.864.914
DEZ;2008;2.848.683;13.705.196;25.992.887;7.735.979;3.874.134
JAN;2009;2.857.338;13.753.950;26.009.756;7.750.023;3.887.354
FEV;2009;2.872.721;13.782.268;25.998.455;7.728.255;3.888.180
MAR;2009;2.884.600;13.886.403;26.220.258;7.773.536;3.886.687
ABR;2009;2.898.140;13.905.625;26.195.353;7.821.534;3.891.220
MAI;2009;2.907.896;13.939.009;26.262.096;7.801.306;3.903.946
JUN;2009;2.923.410;14.017.717;26.257.320;7.819.752;3.913.393
JUL;2009;2.933.438;14.060.458;26.401.844;7.831.903;3.932.217
AGO;2009;2.946.626;14.134.852;26.360.620;7.851.101;3.944.324
SET;2009;2.960.897;14.342.370;26.429.086;7.863.542;3.958.813
OUT;2009;2.973.370;14.259.837;26.504.561;7.887.203;3.972.805
NOV;2009;2.985.603;14.351.594;26.505.030;7.908.682;3.984.601
DEZ;2009;2.996.476;14.419.914;26.627.555;7.906.509;3.998.949
JAN;2010;3.009.730;14.478.625;26.609.660;8.003.140;4.010.577
FEV;2010;3.018.955;14.530.580;26.713.269;7.945.413;4.016.422
MAR;2010;3.031.563;14.635.206;26.787.133;8.062.997;4.023.178
ABR;2010;3.047.228;14.709.817;26.809.655;8.030.950;4.040.663
MAI;2010;3.058.967;14.783.702;26.860.681;8.037.158;4.054.840
JUN;2010;3.071.914;14.839.746;26.902.855;8.051.319;4.068.220
JUL;2010;3.088.182;14.903.913;26.964.956;8.086.149;4.083.799
AGO;2010;3.101.738;14.964.027;27.073.752;8.107.139;4.097.034
SET;2010;3.115.681;15.007.137;27.135.959;8.124.469;4.113.578
OUT;2010;3.130.041;15.079.155;27.170.517;8.058.053;4.127.570
NOV;2010;3.142.078;15.147.229;27.245.373;8.228.165;4.137.369
DEZ;2010;3.154.348;15.203.903;27.297.941;8.199.142;4.150.745
JAN;2011;3.171.481;15.278.462;27.340.977;8.228.857;4.164.214
FEV;2011;3.186.317;15.350.840;27.428.020;8.247.355;4.175.610
MAR;2011;3.205.991;15.403.344;27.437.615;8.261.504;4.191.320
ABR;2011;3.224.040;15.454.459;27.471.474;8.284.847;4.207.032
MAI;2011;3.243.483;15.504.350;27.618.710;8.315.836;4.226.893
JUN;2011;3.262.159;15.560.318;27.620.692;8.295.878;4.244.609
JUL;2011;3.277.486;15.615.761;27.725.178;8.369.087;4.259.932
AGO;2011;3.280.842;15.670.325;27.882.684;8.377.592;4.275.845
SET;2011;3.273.245;15.708.019;27.739.767;8.396.724;4.288.107
OUT;2011;3.275.642;15.728.299;27.873.763;8.415.394;4.304.021
NOV;2011;3.313.784;15.764.542;27.918.878;8.435.231;4.311.230
DEZ;2011;3.325.741;15.784.702;28.004.734;8.457.083;4.334.823
JAN;2012;3.338.266;15.824.858;28.057.542;8.488.333;4.346.341
FEV;2012;3.345.119;15.869.060;28.100.215;8.507.762;4.361.081
MAR;2012;3.342.736;15.917.132;28.192.473;8.532.109;4.377.133
ABR;2012;3.348.409;15.949.062;28.212.093;8.554.991;4.393.294
MAI;2012;3.355.335;15.953.955;28.220.135;8.571.003;4.412.205
JUN;2012;3.372.466;16.023.325;28.222.829;8.581.993;4.435.236
JUL;2012;3.389.625;16.079.831;28.223.812;8.606.699;4.456.147
AGO;2012;3.468.965;16.138.188;28.293.792;8.632.820;4.477.078
SET;2012;3.480.189;16.207.998;28.316.728;8.653.404;4.494.729
OUT;2012;3.490.536;16.269.117;28.446.819;8.677.147;4.513.566
NOV;2012;3.505.364;16.308.893;28.518.767;8.688.025;4.531.030
DEZ;2012;3.511.906;16.366.968;28.546.662;8.727.093;4.544.599
JAN;2013;3.528.957;16.416.339;28.586.034;8.760.994;4.552.548
FEV;2013;3.544.011;16.465.032;28.712.422;8.780.845;4.571.276
MAR;2013;3.554.632;16.518.278;28.806.065;8.801.425;4.584.799
ABR;2013;3.572.562;16.562.125;28.840.432;8.829.058;4.596.750
MAI;2013;3.586.484;16.609.812;28.927.394;8.848.498;4.615.732
JUN;2013;3.598.120;16.657.778;29.024.728;8.869.937;4.635.654
JUL;2013;3.610.485;16.705.547;29.093.052;8.895.649;4.655.569
AGO;2013;3.629.673;16.749.024;29.155.455;8.917.631;4.680.297
SET;2013;3.646.061;16.797.946;29.196.561;8.948.000;4.691.294
OUT;2013;3.662.307;16.848.270;29.278.144;8.975.129;4.718.125
NOV;2013;3.683.650;16.889.662;29.357.901;9.001.607;4.732.771
DEZ;2013;3.703.328;16.948.955;29.431.624;9.028.327;4.750.096
JAN;2014;3.724.930;17.007.637;29.489.741;9.060.998;4.764.005
FEV;2014;3.746.262;17.060.434;29.613.355;9.081.633;4.782.875
MAR;2014;3.772.817;17.114.390;29.668.816;9.108.310;4.798.854
ABR;2014;3.792.222;17.160.615;29.728.712;9.131.632;4.813.241
MAI;2014;3.809.165;17.209.896;29.801.845;9.158.009;4.828.534
JUN;2014;3.826.707;17.247.193;29.836.815;9.178.721;4.848.365
JUL;2014;3.852.361;17.296.786;29.909.736;9.204.418;4.866.398
AGO;2014;3.865.158;17.351.781;29.904.703;9.223.793;4.882.930
SET;2014;3.890.083;17.392.782;30.050.844;9.251.798;4.898.637
OUT;2014;3.900.310;17.448.121;30.089.407;9.274.193;4.918.004
NOV;2014;3.911.404;17.500.046;30.106.424;9.292.545;4.931.110
DEZ;2014;3.936.865;17.542.945;30.245.091;9.318.898;4.951.113
JAN;2015;3.961.831;17.588.290;30.296.256;9.267.926;4.769.639
FEV;2015;3.969.929;17.627.301;30.375.541;9.367.429;4.983.829
MAR;2015;3.991.446;17.697.003;30.448.479;9.393.549;4.481.179
ABR;2015;4.009.935;17.745.761;30.509.749;9.416.997;4.437.077
MAI;2015;4.025.650;17.766.650;30.588.548;9.433.933;5.031.393
JUN;2015;4.037.897;17.794.057;30.643.312;9.455.529;5.051.006
JUL;2015;4.052.119;17.820.037;29.894.627;9.448.356;5.064.006
AGO;2015;4.075.195;17.851.772;30.304.427;9.355.115;5.074.560
SET;2015;4.087.838;17.881.718;30.706.554;9.436.366;5.090.973
OUT;2015;4.109.440;17.927.107;30.863.447;9.526.530;5.102.438
NOV;2015;4.099.546;17.938.454;30.919.670;9.541.695;5.112.654
DEZ;2015;4.120.333;18.012.397;30.932.783;9.561.766;5.119.201
JAN;2016;4.129.052;18.029.391;31.025.063;9.582.479;5.119.204
FEV;2016;4.141.625;18.091.737;31.104.688;9.596.085;5.128.541
MAR;2016;4.113.252;18.125.699;31.064.469;9.617.635;5.141.652
ABR;2016;4.149.988;18.178.343;31.125.563;9.637.065;5.146.314
MAI;2016;4.197.376;18.250.442;31.184.605;9.650.765;5.153.121
JUN;2016;4.204.504;18.291.770;31.228.239;9.661.758;5.164.328
JUL;2016;4.240.608;18.334.442;31.286.109;9.671.378;5.178.995
AGO;2016;4.234.933;18.382.887;31.332.844;9.682.880;5.195.119
SET;2016;4.257.643;18.402.063;31.359.268;9.691.704;5.205.442
OUT;2016;4.275.138;18.421.546;31.360.457;9.703.362;5.206.537
NOV;2016;4.290.916;18.449.736;31.471.795;9.714.957;5.216.842
DEZ;2016;4.312.124;18.482.446;31.513.565;9.746.164;5.223.101
JAN;2017;4.324.985;18.525.385;31.540.757;9.763.908;5.182.984
FEV;2017;4.321.698;18.557.318;31.613.447;9.771.581;5.189.573
MAR;2017;4.358.458;18.601.795;31.655.583;9.809.129;5.202.855
ABR;2017;4.364.894;18.632.822;31.657.505;9.814.524;5.217.546
MAI;2017;4.403.024;18.670.691;31.738.689;9.841.031;5.234.364
JUN;2017;4.403.184;18.719.262;31.760.504;9.853.527;5.254.434
JUL;2017;4.429.312;18.755.642;31.804.410;9.870.802;5.269.445
AGO;2017;4.526.974;18.793.220;31.895.023;9.887.405;5.280.862
SET;2017;4.468.638;18.810.716;31.889.961;9.902.594;5.293.942
OUT;2017;4.490.486;18.846.046;31.894.504;9.920.188;5.308.994
NOV;2017;4.503.450;18.854.228;32.053.894;9.944.621;5.325.907
DEZ;2017;4.518.269;18.864.463;32.179.790;10.002.105;5.341.886
JAN;2018;4.507.499;18.863.715;32.107.094;10.022.248;5.345.440
FEV;2018;4.506.602;18.889.234;32.126.045;10.054.464;5.352.460
MAR;2018;4.546.738;18.931.185;32.240.236;10.080.823;5.367.032
ABR;2018;4.551.188;18.967.827;32.304.507;10.092.700;5.381.108
MAI;2018;4.563.454;18.920.074;32.319.049;10.115.773;5.395.212
JUN;2018;4.571.071;19.027.711;32.359.781;10.128.463;5.403.464
JUL;2018;4.583.058;19.084.816;32.422.643;10.147.695;5.418.932
AGO;2018;4.596.116;19.095.406;32.443.966;10.158.073;5.416.478
SET;2018;4.588.592;19.126.109;32.483.381;10.174.399;5.428.201
OUT;2018;4.604.794;19.163.207;32.513.251;10.198.571;5.444.239
NOV;2018;4.603.971;19.182.587;32.571.610;10.214.236;5.450.693
DEZ;2018;4.612.369;19.198.428;32.583.723;10.225.506;5.461.434
JAN;2019;4.612.693;19.220.803;32.653.211;10.290.338;5.473.160
FEV;2019;4.636.908;19.248.705;32.656.916;10.310.881;5.482.285
MAR;2019;4.624.139;19.277.834;32.732.014;10.333.704;5.498.673
ABR;2019;4.626.169;19.311.959;32.764.273;10.356.653;5.513.362
MAI;2019;4.642.813;19.353.752;32.842.212;10.375.660;5.528.948
JUN;2019;4.661.502;19.358.499;32.858.190;10.384.676;5.536.578
JUL;2019;4.674.415;19.338.937;32.899.969;10.400.477;5.550.735
AGO;2019;4.682.566;19.462.707;32.913.602;10.412.430;5.560.706
SET;2019;4.688.216;19.441.491;32.947.380;10.425.768;5.575.221
OUT;2019;4.683.179;19.576.601;33.003.705;10.446.549;5.596.646
NOV;2019;4.695.586;19.487.051;33.085.056;10.468.025;5.593.041
DEZ;2019;4.699.408;19.561.085;32.957.392;10.502.951;5.611.802
JAN;2020;4.723.312;19.491.242;33.001.269;10.409.787;5.629.447
